Term,Course,Title,Section,CRN,Days,Times,Location,Status,Max,Now,Instructor,Delivery Mode,Credits,Info,Comments
202690,MGMT 682,BUSINESS RESEARCH METHODS I,,,M,6:00 PM - 8:50 PM,CAB 2020,,19,,"Zhang, Haisu",Face-to-Face,,,
202690,BDS 791,DOCTORAL SEMINAR,,,W,1:00 PM - 2:20 PM,CAB 2020,,19,,"Gopalakrishnan, Shanthi",Face-to-Face,,,
202690,MGMT 399,CAREER PLANNING,,,M,10:00 AM - 11:20 AM,CAB 3052,,43,,"Joseph, Miranda",Face-to-Face,,,
202690,MGMT 399,CAREER PLANNING,,,M,11:30 AM - 12:50 PM,CAB 3052,,43,,"Joseph, Miranda",Face-to-Face,,,
202690,MGMT 399,CAREER PLANNING,,,M,1:00 PM - 2:20 PM,CAB 3052,,43,,"Joseph, Miranda",Face-to-Face,,,
202690,MIS 645,INFO TECH & COMP ADVANTAGE,,,M,2:30 PM - 5:20 PM,CAB 3052,,43,,"Eljabiri, Osama",Face-to-Face,,,
202690,MIS 645,INFO TECH & COMP ADVANTAGE,,,T,6:00 PM - 8:50 PM,CAB 3052,,43,,"Wolczynski, Nicholas",Face-to-Face,,,
202690,MRKT 378,MARKETING ANALYTICS,,,TR,10:00 AM - 11:20 AM,CAB 3052,,43,,"Fresneda Fernandez, Jorge Eduardo",Face-to-Face,,,
202690,OM 375,BUSINESS OP MGMT & ANALYTICS,,,TR,11:30 AM - 12:50 PM,CAB 3052,,43,,"Rudna, Olena",Face-to-Face,,,
202690,MIS 423,SPORTS MANAGEMENT & ANALYTICS,,,TR,1:00 PM - 2:20 PM,CAB 3052,,43,,"Fresneda Fernandez, Jorge Eduardo",Face-to-Face,,,
202690,MGMT 390,PRINCIPLES OF BUSINESS,,,WF,8:30 AM - 9:50 AM,CAB 3052,,43,,"Egbelu, Pius",Face-to-Face,,,
202690,MGMT 390,PRINCIPLES OF BUSINESS - HONORS,,,WF,8:30 AM - 9:50 AM,CAB 3052,,43,,"Egbelu, Pius",Face-to-Face,,,
202690,DD 275,FOUNDATION OF GAME DESIGN,,,F,8:30 AM - 11:20 AM,CAMP 236C,,18,,"McClain, Anthony",Face-to-Face,,,
202690,DD 275,FOUNDATION OF GAME DESIGN,,,T,6:00 PM - 8:50 PM,CAMP 236H,,18,,"Zajacz, Michael",Face-to-Face,,,
202690,DD 444,3-DIMENSIONAL CHARACTER DEVEL,,,W,6:00 PM - 8:50 PM,CAMP 236H,,18,,"Rodrigues, Miguel",Face-to-Face,,,
202690,ECET 311,EMBEDDED SYSTEMS I,,,M,6:00 PM - 10:05 PM,CKB 106,,42,,"Awad, Majd",Face-to-Face,,,
202690,IS 117,INTRO TO WEBSITE DEVELOPMENT,,,MR,11:30 AM - 12:50 PM,CKB 106,,42,,"Williams, Keith",Face-to-Face,,,
202690,FIN 315,FUND OF CORPORATE FINANCE,,,MR,2:30 PM - 3:50 PM,CKB 106,,42,,"Fox, Wayne",Face-to-Face,,,
202690,MATH 333,PROBABILITY AND STATISTICS,,,MW,1:00 PM - 2:20 PM,CKB 106,,42,,"Shang, Zuofeng",Face-to-Face,,,
202690,CE 648,FLOW THROUGH SOILS,,,R,6:00 PM - 8:50 PM,CKB 106,,42,,"Meegoda, Jay",Face-to-Face,,,
202690,ENE 672,STORMWATER MANAGEMENT,,,T,6:00 PM - 8:50 PM,CKB 106,,42,,"Boufadel, Michel",Face-to-Face,,,
202690,CHEM 121,FUND OF CHEMICAL PRINCIPLES I,,,TF,2:30 PM - 3:50 PM,CKB 106,,42,,"Edens, Gregory",Face-to-Face,,,
202690,MATH 337,LINEAR ALGEBRA,,,TR,10:00 AM - 11:20 AM,CKB 106,,42,,"Turc, Catalin",Face-to-Face,,,
202690,PSY 359,FOUNDATIONS OF CYBERPSYCHOLOGY,,,TR,4:00 PM - 5:20 PM,CKB 106,,42,,"Wolf, John",Face-to-Face,,,
202690,MATH 333,PROBABILITY AND STATISTICS,,,TR,8:30 AM - 9:50 AM,CKB 106,,42,,"Schmidt, Donivyn",Face-to-Face,,,
202690,MATH 222,DIFFERENTIAL EQUATIONS,,,TRF,1:00 PM - 2:20 PM,CKB 106,,42,,"Bouayad, Rachid",Face-to-Face,,,
202690,FYS SEM,FIRST-YEAR SEMINAR,,,W,11:30 AM - 12:50 PM,CKB 106,,42,,"Landow, Jason",Face-to-Face,,,
202690,CE 443,FOUNDATION ENGINEERING DESIGN,,,W,6:00 PM - 8:50 PM,CKB 106,,42,,"Riegel, Matthew",Face-to-Face,,,
202690,IE 618,ENGR COST & PRODUC ECONO,,,F,6:00 PM - 8:50 PM,CKB 114,,32,,"Naraine, Deoraj",Face-to-Face,,,
202690,YWCC 307,PROFESSIONAL DEV IN COMPUTING,,,M,1:00 PM - 2:20 PM,CKB 114,,32,,"Ohshiro, Keita",Face-to-Face,,,
202690,ECE 498,ST: AUTONOMOUS ROBOTICS PLATFORMS,,,M,6:00 PM - 8:50 PM,CKB 114,,32,,"Abichandani, Pramod",Face-to-Face,,,
202690,COM 312,EFFECTIVE COMMUNICATION,,,MR,10:00 AM - 11:20 AM,CKB 114,,32,,"Lipuma, James",Face-to-Face,,,
202690,COM 312,EFFECTIVE COMMUNICATION,,,MR,11:30 AM - 12:50 PM,CKB 114,,32,,"Lipuma, James",Face-to-Face,,,
202690,STS 201,UNDERSTANDING TECH SOCIETY,,,MR,2:30 PM - 3:50 PM,CKB 114,,32,,"Leli, Tyler",Face-to-Face,,,
202690,STS 221,INTRODUCTION TO SOCIOLOGY,,,MR,8:30 AM - 9:50 AM,CKB 114,,32,,"Reibstein, Sarah",Face-to-Face,,,
202690,SDET 101,FUND OF SOFT AND DATA,,,R,6:00 PM - 10:05 PM,CKB 114,,32,,"Iaboni, Craig",Face-to-Face,,,
202690,ARCH 483,ST: ARCHITECTURAL GLASS DESIGN AND PROTOTYPING,,,T,6:00 PM - 8:50 PM,CKB 114,,32,,"Pawlowska, Gosia",Face-to-Face,,,
202690,ENGL 100,"INTRO TO ACADEMIC RDG, WRTG",,,TF,10:00 AM - 11:20 AM,CKB 114,,32,,"Fischl-Kruger, Jennifer",Face-to-Face,,,
202690,PHIL 334,ENGINEERING ETHICS,,,TF,2:30 PM - 3:50 PM,CKB 114,,32,,"Burnside, Andrew",Face-to-Face,,,
202690,ARCH 549G,LANDSCAPE AND URBANISM,,,TF,8:30 AM - 9:50 AM,CKB 114,,32,,"Stevens, Jeff",Face-to-Face,,,
202690,ENGL 101,INTRO TO ACADEMIC WRITING,,,TR,1:00 PM - 2:20 PM,CKB 114,,32,,"Coppola, Michael",Face-to-Face,,,
202690,FYS SEM,FIRST-YEAR SEMINAR,,,W,1:00 PM - 2:20 PM,CKB 114,,32,,"Howard, Jasmine",Face-to-Face,,,
202690,HIST 343,AFRICAN-AMERICAN HISTORY I,,,W,6:00 PM - 8:50 PM,CKB 114,,32,,"Toler, Herbert",Face-to-Face,,,
202690,FYS SEM,FIRST-YEAR SEMINAR,,,M,2:30 PM - 3:50 PM,CKB 120,,38,,"Cruz, Ricky",Face-to-Face,,,
202690,ECE 271,ELECTRONIC CIRCUITS I,,,M,6:00 PM - 10:05 PM,CKB 120,,38,,"Walker-Soler, Jean",Face-to-Face,,,
202690,MATH 107,UNIVERSITY MATHEMATICS A,,,MR,1:00 PM - 2:20 PM,CKB 120,,38,,"Jean, Jason",Face-to-Face,,,
202690,CE 465,GREEN & SUSTAINABLE CIVIL ENGR,,,MW,10:00 AM - 11:20 AM,CKB 120,,38,,"Adams, Matthew",Face-to-Face,,,
202690,IT 101,INTRO TO INFORMTN TECHNOLGY,,,MW,11:30 AM - 12:50 PM,CKB 120,,38,,"Spryszynski, Adam",Face-to-Face,,,
202690,YWCC 207,COMPUTING & EFFECTIVE COM,,,R,6:00 PM - 7:20 PM,CKB 120,,38,,"Sims, Deborah",Face-to-Face,,,
202690,MATH 478,STAT METHODS IN DATA SCIENCE,,,TF,2:30 PM - 3:50 PM,CKB 120,,38,,"Guo, Wenge",Face-to-Face,,,
202690,MATH 326,DISCRETE ANALYSIS FOR COE,,,TR,11:30 AM - 12:50 PM,CKB 120,,38,,"Ward, Peter",Face-to-Face,,,
